 Year Mon  Area
 1928 11  794.4
 1928 12 1078.5
 1929  1  980.1
 1929  2  821.6
 1929  3 1058.0
 1929  4 1037.0
 1929  5  849.4
 1929  6 1199.0
 1929  7 1026.9
 1929  8  744.0
 1929  9  278.0
 1929 10 1309.9
 1929 11 2478.8
 1929 12 3084.3
 1930  1 1141.3
 1930  2  683.7
 1930  3  656.7
 1930  4  561.5
 1930  5  490.3
 1930  6  278.7
 1930  7  152.9
 1930  8  283.1
 1930  9  368.2
 1930 10  682.3
 1930 11  661.3
 1930 12  239.3
 1931  1  179.7
 1931  2  812.1
 1931  3  552.6
 1931  4  431.8
 1931  5  291.6
 1931  6  178.5
 1931  7  108.6
 1931  8   82.9
 1931  9  149.1
 1931 10   94.5
 1931 11  263.2
 1931 12  204.2
 1932  1  127.1
 1932  2  123.5
 1932  3  150.4
 1932  4  222.5
 1932  5  323.0
 1932  6  344.0
 1932  7  116.1
 1932  8   79.9
 1932  9    8.6
 1932 10   71.0
 1932 11  125.2
 1932 12  266.5
 1933  1  179.8
 1933  2  608.5
 1933  3  162.3
 1933  4   15.4
 1933  5   15.7
 1933  6   39.0
 1933  7   12.2
 1933  8    0.3
 1933  9   19.5
 1933 10   37.3
 1933 11    4.3
 1933 12    0.7
 1934  1   42.8
 1934  2   58.9
 1934  3   11.4
 1934  4  355.0
 1934  5  373.4
 1934  6   99.7
 1934  7  105.9
 1934  8   96.5
 1934  9   21.1
 1934 10   21.1
 1934 11   79.9
 1934 12  153.0
 1935  1  312.2
 1935  2  256.1
 1935  3  196.9
 1935  4  126.2
 1935  5  361.8
 1935  6  690.2
 1935  7  571.8
 1935  8  444.5
 1935  9  544.7
 1935 10  741.4
 1935 11 1557.1
 1935 12 1662.0
 1936  1 1647.4
 1936  2 1226.7
 1936  3 1128.0
 1936  4 1044.6
 1936  5  566.0
 1936  6  804.2
 1936  7  628.8
 1936  8  952.0
 1936  9  924.1
 1936 10 1084.8
 1936 11 1938.1
 1936 12 1745.4
 1937  1 2252.9
 1937  2 2347.5
 1937  3 1142.9
 1937  4 2256.6
 1937  5 2337.3
 1937  6 2712.5
 1937  7 3363.4
 1937  8 2504.1
 1937  9 1504.5
 1937 10 2358.4
 1937 11  852.8
 1937 12 1240.4
 1938  1 2264.8
 1938  2 1744.0
 1938  3 1473.5
 1938  4 2365.6
 1938  5 2319.7
 1938  6 1322.8
 1938  7 3163.3
 1938  8 1678.7
 1938  9 1603.4
 1938 10 1917.3
 1938 11 2412.9
 1938 12 1916.8
 1939  1 1159.1
 1939  2 1031.2
 1939  3  763.2
 1939  4 1999.7
 1939  5 1751.0
 1939  6 1130.6
 1939  7 1962.4
 1939  8 2326.9
 1939  9 3165.1
 1939 10 1920.3
 1939 11 1170.6
 1939 12  541.9
 1940  1 1158.5
 1940  2  963.7
 1940  3 1467.5
 1940  4  642.1
 1940  5  668.3
 1940  6 1297.0
 1940  7  893.1
 1940  8 1899.8
 1940  9  945.8
 1940 10 1057.6
 1940 11  594.3
 1940 12  858.3
 1941  1  483.9
 1941  2  478.9
 1941  3  519.5
 1941  4  347.3
 1941  5  206.5
 1941  6  775.8
 1941  7  997.1
 1941  8  907.8
 1941  9 1347.8
 1941 10  828.7
 1941 11  641.7
 1941 12  362.5
 1942  1  361.8
 1942  2  991.3
 1942  3  923.6
 1942  4  977.6
 1942  5  275.5
 1942  6   89.5
 1942  7  188.0
 1942  8  242.4
 1942  9  108.7
 1942 10  230.9
 1942 11  485.4
 1942 12  253.3
 1943  1   72.3
 1943  2  551.6
 1943  3  628.0
 1943  4  753.2
 1943  5  248.6
 1943  6   36.7
 1943  7  240.0
 1943  8  142.7
 1943  9  242.0
 1943 10  234.7
 1943 11  126.8
 1943 12  284.6
 1944  1   25.6
 1944  2    1.6
 1944  3  145.3
 1944  4    0.7
 1944  5    8.8
 1944  6   52.5
 1944  7   24.2
 1944  8   78.4
 1944  9  250.1
 1944 10  192.8
 1944 11  177.5
 1944 12  538.3
 1945  1  182.3
 1945  2   92.2
 1945  3  514.6
 1945  4  584.6
 1945  5  283.0
 1945  6  399.2
 1945  7  505.6
 1945  8  270.7
 1945  9  450.7
 1945 10 1111.2
 1945 11  398.6
 1945 12  325.3
 1946  1 1237.5
 1946  2 3091.0
 1946  3 1550.9
 1946  4 1433.5
 1946  5 1084.9
 1946  6  715.7
 1946  7 2912.4
 1946  8 2290.7
 1946  9 1859.8
 1946 10 1344.5
 1946 11 1852.4
 1946 12 2513.5
 1947  1 2307.6
 1947  2 2721.0
 1947  3 3595.8
 1947  4 3950.3
 1947  5 3741.3
 1947  6 1933.8
 1947  7 2451.1
 1947  8 3207.3
 1947  9 1991.6
 1947 10 2379.8
 1947 11 1686.4
 1947 12 1642.6
 1948  1 1113.1
 1948  2 1089.6
 1948  3 1261.3
 1948  4 3432.1
 1948  5 3305.2
 1948  6 2559.4
 1948  7 1766.0
 1948  8 2075.3
 1948  9 1864.9
 1948 10 1745.3
 1948 11 1006.1
 1948 12 2476.9
 1949  1 2240.0
 1949  2 3640.3
 1949  3 3276.7
 1949  4 1882.3
 1949  5 1217.1
 1949  6 1606.4
 1949  7 1752.0
 1949  8 2265.1
 1949  9 2185.5
 1949 10 1815.0
 1949 11 2313.0
 1949 12 1486.5
 1950  1 1416.2
 1950  2 1927.3
 1950  3 1660.3
 1950  4 2359.1
 1950  5 1578.1
 1950  6 1048.3
 1950  7 1255.7
 1950  8 1068.5
 1950  9  488.4
 1950 10  571.1
 1950 11  744.9
 1950 12  610.2
 1951  1  746.4
 1951  2  626.7
 1951  3  845.2
 1951  4 1599.0
 1951  5 2899.0
 1951  6 2477.1
 1951  7  779.9
 1951  8  664.0
 1951  9  959.9
 1951 10  757.4
 1951 11  666.0
 1951 12  602.5
 1952  1  464.0
 1952  2  305.4
 1952  3  141.9
 1952  4  351.0
 1952  5  256.6
 1952  6  393.1
 1952  7  654.3
 1952  8  688.7
 1952  9  307.0
 1952 10  339.5
 1952 11  455.4
 1952 12  477.3
 1953  1  288.7
 1953  2   10.5
 1953  3   70.3
 1953  4  405.5
 1953  5  195.6
 1953  6  217.8
 1953  7   80.7
 1953  8  268.9
 1953  9  141.1
 1953 10   47.0
 1953 11    9.1
 1953 12    6.0
 1954  1    0.7
 1954  2    1.4
 1954  3  157.4
 1954  4    3.2
 1954  5    0.8
 1954  6    1.8
 1954  7   10.5
 1954  8   58.0
 1954  9    2.2
 1954 10   15.7
 1954 11   57.8
 1954 12  106.2
 1955  1  540.9
 1955  2  287.4
 1955  3   37.2
 1955  4   80.1
 1955  5  302.1
 1955  6  490.5
 1955  7  216.4
 1955  8  574.0
 1955  9  436.8
 1955 10  921.3
 1955 11 1664.7
 1955 12 1076.8
 1956  1 1584.0
 1956  2 2878.2
 1956  3 1855.9
 1956  4 1418.5
 1956  5 2220.6
 1956  6 1673.4
 1956  7 1872.8
 1956  8 3016.2
 1956  9 2598.4
 1956 10 2385.4
 1956 11 3823.3
 1956 12 3409.6
 1957  1 2328.1
 1957  2 1454.6
 1957  3 1814.2
 1957  4 2064.0
 1957  5 2568.7
 1957  6 4535.8
 1957  7 3150.3
 1957  8 2356.6
 1957  9 4554.0
 1957 10 4473.7
 1957 11 3011.6
 1957 12 4270.1
 1958  1 2994.3
 1958  2 2546.6
 1958  3 4437.6
 1958  4 3603.3
 1958  5 2707.8
 1958  6 2600.3
 1958  7 3298.8
 1958  8 2899.1
 1958  9 3340.6
 1958 10 2597.1
 1958 11 1877.9
 1958 12 3231.8
 1959  1 4902.0
 1959  2 2410.2
 1959  3 3740.2
 1959  4 2701.0
 1959  5 2807.4
 1959  6 3080.9
 1959  7 2684.8
 1959  8 3535.9
 1959  9 2415.1
 1959 10 1465.1
 1959 11 2386.1
 1959 12 2346.6
 1960  1 2536.1
 1960  2 1805.2
 1960  3 1191.7
 1960  4 1786.5
 1960  5 2078.9
 1960  6 1414.4
 1960  7 1857.3
 1960  8 2034.0
 1960  9 1439.2
 1960 10 1168.6
 1960 11 1476.1
 1960 12  906.6
 1961  1  772.7
 1961  2  357.6
 1961  3  512.6
 1961  4  638.1
 1961  5  459.9
 1961  6  961.9
 1961  7 1155.5
 1961  8  498.4
 1961  9  963.1
 1961 10  329.0
 1961 11  314.8
 1961 12  398.4
 1962  1  593.8
 1962  2  826.9
 1962  3  693.0
 1962  4  554.3
 1962  5  634.0
 1962  6  362.8
 1962  7  262.9
 1962  8  140.3
 1962  9  657.5
 1962 10  371.6
 1962 11  291.1
 1962 12  174.0
 1963  1  174.5
 1963  2  194.1
 1963  3  144.5
 1963  4  303.0
 1963  5  507.2
 1963  6  349.4
 1963  7  147.9
 1963  8  322.5
 1963  9  622.7
 1963 10  433.9
 1963 11  185.3
 1963 12   69.0
 1964  1  105.1
 1964  2   84.0
 1964  3  149.8
 1964  4   17.8
 1964  5   30.9
 1964  6   25.2
 1964  7    7.6
 1964  8   51.5
 1964  9   16.6
 1964 10   24.6
 1964 11   27.1
 1964 12  106.7
 1965  1  145.9
 1965  2  112.5
 1965  3   52.9
 1965  4   23.6
 1965  5  224.6
 1965  6   94.1
 1965  7   73.4
 1965  8   22.0
 1965  9  156.1
 1965 10  175.3
 1965 11  139.6
 1965 12  139.7
 1966  1  283.2
 1966  2  240.3
 1966  3  563.8
 1966  4  786.9
 1966  5  411.9
 1966  6  318.8
 1966  7  762.1
 1966  8  521.5
 1966  9  939.3
 1966 10  637.7
 1966 11  710.4
 1966 12  934.8
 1967  1 1840.4
 1967  2 1493.2
 1967  3 2081.5
 1967  4  892.2
 1967  5 1730.6
 1967  6 1025.7
 1967  7 1476.4
 1967  8 2128.5
 1967  9  886.1
 1967 10 1117.5
 1967 11 1553.4
 1967 12 2004.2
 1968  1 2482.8
 1968  2 1879.3
 1968  3 1117.5
 1968  4 1002.0
 1968  5 1904.1
 1968  6 1838.5
 1968  7 1481.9
 1968  8 1640.6
 1968  9 1264.4
 1968 10 1406.7
 1968 11 1134.3
 1968 12 1685.0
 1969  1 1571.0
 1969  2 1272.4
 1969  3 2187.3
 1969  4 1508.7
 1969  5 1335.5
 1969  6 1793.9
 1969  7 1167.6
 1969  8 1200.1
 1969  9  845.8
 1969 10 1574.1
 1969 11 1698.7
 1969 12 1246.5
 1970  1 1593.4
 1970  2 2255.9
 1970  3 1382.8
 1970  4 1920.1
 1970  5 2126.9
 1970  6 1529.6
 1970  7 1646.2
 1970  8 1310.9
 1970  9 1256.4
 1970 10 1271.2
 1970 11 1566.3
 1970 12 1355.4
 1971  1 1942.5
 1971  2 1433.8
 1971  3  688.1
 1971  4  884.0
 1971  5  701.8
 1971  6  487.3
 1971  7 1122.0
 1971  8 1156.2
 1971  9  599.0
 1971 10  954.6
 1971 11  913.9
 1971 12  999.2
 1972  1  522.4
 1972  2 1338.2
 1972  3 1207.6
 1972  4  572.4
 1972  5 1318.6
 1972  6 1321.9
 1972  7  929.2
 1972  8 1051.7
 1972  9  604.7
 1972 10 1017.1
 1972 11  554.9
 1972 12  561.7
 1973  1  399.1
 1973  2  423.7
 1973  3  722.0
 1973  4  765.1
 1973  5  411.5
 1973  6  441.0
 1973  7  281.6
 1973  8  262.2
 1973  9  883.4
 1973 10  407.0
 1973 11  242.6
 1973 12  251.4
 1974  1  204.6
 1974  2  252.8
 1974  3  128.2
 1974  4  513.5
 1974  5  382.9
 1974  6  292.6
 1974  7  831.1
 1974  8  432.2
 1974  9  584.3
 1974 10  603.0
 1974 11  309.5
 1974 12  251.6
 1975  1  155.4
 1975  2   80.2
 1975  3   64.1
 1975  4   17.3
 1975  5   59.9
 1975  6  106.9
 1975  7  353.6
 1975  8  702.0
 1975  9   74.0
 1975 10  114.2
 1975 11  235.1
 1975 12   34.2
 1976  1  115.5
 1976  2   11.3
 1976  3  336.3
 1976  4  376.3
 1976  5  104.1
 1976  6   76.3
 1976  7    8.7
 1976  8  290.7
 1976  9  169.3
 1976 10  181.9
 1976 11   92.0
 1976 12  274.9
 1977  1  148.4
 1977  2  216.0
 1977  3   36.6
 1977  4  123.9
 1977  5  131.9
 1977  6  617.4
 1977  7  205.2
 1977  8  273.2
 1977  9  885.7
 1977 10  611.0
 1977 11  270.7
 1977 12  644.5
 1978  1  558.6
 1978  2 1901.5
 1978  3 1294.5
 1978  4 1520.7
 1978  5 1346.8
 1978  6 1175.9
 1978  7  878.4
 1978  8  530.5
 1978  9 1996.2
 1978 10 1455.6
 1978 11 1436.0
 1978 12 2327.5
 1979  1 2688.0
 1979  2 2217.3
 1979  3 1581.6
 1979  4 1823.8
 1979  5 1676.7
 1979  6 2614.9
 1979  7 1795.6
 1979  8 2003.7
 1979  9 2258.3
 1979 10 2703.9
 1979 11 3132.3
 1979 12 1838.2
 1980  1 1935.2
 1980  2 2113.0
 1980  3 1134.0
 1980  4 2827.5
 1980  5 2884.0
 1980  6 1960.7
 1980  7 2003.4
 1980  8 1456.5
 1980  9 1994.8
 1980 10 2469.2
 1980 11 3083.3
 1980 12 2067.0
 1981  1 1248.5
 1981  2 2216.6
 1981  3 2348.6
 1981  4 2216.7
 1981  5 2082.4
 1981  6 1451.1
 1981  7 3295.0
 1981  8 1840.5
 1981  9 2572.0
 1981 10 3239.7
 1981 11 2207.1
 1981 12 2524.7
 1982  1 1607.7
 1982  2 3857.0
 1982  3 3569.5
 1982  4 2053.7
 1982  5 1390.1
 1982  6 3070.7
 1982  7 1909.0
 1982  8 2065.2
 1982  9 1778.5
 1982 10 1539.5
 1982 11 1851.3
 1982 12 2707.4
 1983  1 1214.4
 1983  2  957.5
 1983  3  905.9
 1983  4  976.7
 1983  5 1736.5
 1983  6 1577.8
 1983  7 1105.1
 1983  8  845.9
 1983  9  607.1
 1983 10  904.1
 1983 11  203.5
 1983 12  293.5
 1984  1 1582.0
 1984  2 2174.8
 1984  3 1033.3
 1984  4 1723.4
 1984  5 1619.0
 1984  6  588.9
 1984  7  289.0
 1984  8  191.5
 1984  9  130.7
 1984 10   69.1
 1984 11  234.3
 1984 12   99.8
 1985  1  168.5
 1985  2  102.0
 1985  3  132.3
 1985  4  368.2
 1985  5  342.5
 1985  6  246.9
 1985  7  392.5
 1985  8   45.2
 1985  9   19.1
 1985 10  193.3
 1985 11  100.3
 1985 12   51.0
 1986  1   32.5
 1986  2  417.5
 1986  3  145.9
 1986  4  174.5
 1986  5   45.2
 1986  6    1.9
 1986  7  105.2
 1986  8   81.7
 1986  9   23.8
 1986 10  359.9
 1986 11   94.3
 1986 12   14.0
 1987  1   25.3
 1987  2   13.5
